timestamp(s),px(m),py(m),pz(m),qw,qx,qy,qz
320341.792888,-0.006812,-0.050212,0.003281,0.001731,-0.000043,0.833816,-0.565554
320341.826708,-0.007425,-0.046742,0.003243,0.001208,0.000432,0.826692,-0.560835
320341.860527,-0.008022,-0.048758,0.002469,0.001869,0.000151,0.829531,-0.562923
320341.894347,-0.003300,-0.051008,0.002782,0.001354,0.000418,0.830290,-0.563951
320341.928167,-0.003706,-0.053042,0.001935,0.000610,0.000366,0.841154,-0.570753
320341.961986,-0.004146,-0.055007,0.001070,nan,nan,nan,nan
320341.995806,0.000481,-0.047415,0.001276,0.000559,-0.000586,0.792948,-0.538233
320342.029626,0.003225,-0.035217,0.001679,0.000913,-0.001876,0.818924,-0.555929
320342.063445,0.000051,-0.030339,0.001970,0.000585,-0.002393,0.803204,-0.545527
320342.097265,0.000005,-0.031522,0.001121,0.001397,-0.002421,0.826886,-0.561595
320342.131085,-0.000069,-0.032775,0.000236,0.002947,-0.002629,0.825637,-0.560197
320342.164904,-0.000177,-0.034135,-0.000730,0.003942,-0.002669,0.828691,-0.561626
320342.198724,-0.005494,-0.038439,-0.000613,0.003247,-0.002203,0.826939,-0.560901
320342.232544,-0.000905,-0.027968,-0.000283,0.003833,-0.002717,0.828047,-0.561738
320342.266364,-0.001002,-0.029065,-0.001218,0.003037,-0.002223,0.827285,-0.561383
320342.300183,-0.001089,-0.030139,-0.002100,0.002559,-0.001869,0.829808,-0.562679
320342.334003,-0.001210,-0.031243,-0.002960,0.002211,-0.001577,0.827150,-0.560899
320342.367822,0.002793,-0.037132,-0.003196,0.002408,-0.002067,0.827574,-0.561073
320342.401642,0.000662,-0.037845,-0.003054,0.001829,-0.001597,0.831033,-0.563527
320342.435462,0.000660,-0.039205,-0.003909,0.002331,-0.001937,0.825668,-0.560089
320342.469281,0.000681,-0.040660,-0.004707,0.002908,-0.002096,0.826633,-0.560794
320342.503101,-0.005364,-0.039997,-0.004577,0.002395,-0.001922,0.829204,-0.562717
320342.536921,-0.005409,-0.041424,-0.005364,0.002212,-0.002000,0.827575,-0.562641
320342.570741,-0.005483,-0.042882,-0.006185,0.001455,-0.002151,0.827136,-0.563602
320342.604560,-0.005614,-0.044511,-0.007035,0.000610,-0.002124,0.784237,-0.534612
320342.638380,-0.005794,-0.046429,-0.007877,0.000150,0.001495,-0.518250,0.353570
320342.672200,-0.003533,-0.030182,-0.007744,0.000173,0.002935,-1.184245,0.808502
320342.706019,-0.003717,-0.032041,-0.008647,0.000150,-0.000399,0.162101,-0.110654
320342.739839,-0.004013,-0.034500,-0.009730,0.000918,-0.002550,0.816310,-0.556251
320342.773659,-0.004350,-0.037380,-0.010954,0.002806,-0.003489,0.827872,-0.563007
320342.817478,-0.004649,-0.040579,-0.012268,0.005428,-0.004692,0.827394,-0.560928
320342.851298,-0.004993,-0.045365,-0.014236,0.008024,-0.005809,0.828669,-0.559319
320342.885118,-0.005204,-0.049742,-0.016031,0.007689,-0.005389,0.829181,-0.558596
320342.918938,-0.004121,-0.061788,-0.016516,0.005499,-0.002750,0.828276,-0.560697
320342.952757,-0.005095,-0.066835,-0.017705,0.001490,0.000870,0.828562,-0.564326
320342.986577,-0.002105,-0.022524,0.019547,0.001099,-0.003228,-0.823875,0.562867
320343.020396,-0.002789,-0.044533,0.008524,0.006313,-0.008632,-0.825300,0.564951
320343.054216,-0.002854,-0.050117,0.005639,0.008312,-0.010193,-0.825452,0.564346
320343.088036,-0.001161,-0.057286,0.003567,0.011168,-0.013051,-0.826342,0.562768
320343.121855,-0.001860,-0.066034,0.001101,0.013604,-0.014732,-0.827707,0.560722
320343.155675,-0.002227,-0.072986,-0.001287,0.015502,-0.015769,-0.829240,0.558431
320343.189495,-0.002490,-0.081831,-0.004221,0.017703,-0.017181,-0.831114,0.555587
320343.223315,-0.002467,-0.091982,-0.008975,0.019361,-0.018882,-0.834422,0.550418
320343.257134,-0.003180,-0.099804,-0.012663,0.019620,-0.018758,-0.837774,0.545265
320343.290954,-0.002002,-0.113813,-0.017398,0.018924,-0.018199,-0.841134,0.540196
